BAGGING:

    - edge_colorlayout:
                1. J48             | Iter=10 | Accuracy=60.32%
 2. StackB_RandomForest_SMO_SimpleLogistic_JRip_J48_RandomForest.txt | Accuracy=63.76%
 3. StackB_RandomForest_SMO_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=62.43%
 4. StackB_SMO_NaiveBayes_IBk_J48_REPTree_RandomTree.txt | Accuracy=62.17%
 5. StackB_RandomForest_SimpleLogistic_IBk_JRip_J48_RandomForest.txt | Accuracy=61.90%
 6. StackB_RandomForest_NaiveBayes_SMO_SimpleLogistic_IBk_RandomForest.txt | Accuracy=61.64%
 7. StackB_RandomForest_SimpleLogistic_IBk_PART_REPTree_RandomForest.txt | Accuracy=61.38%
 8. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_REPTree_RandomTree.txt | Accuracy=60.85%
 9. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_PART_REPTree_RandomTree.txt | Accuracy=60.85%
10. StackB_SimpleLogistic_NaiveBayes_SMO_SimpleLogistic_RandomForest_RandomTree.txt | Accuracy=60.58%
11. StackB_SMO_NaiveBayes_IBk_REPTree_RandomForest_RandomTree.txt | Accuracy=60.32%
12. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_IBk_J48_REPTree.txt | Accuracy=60.05%
13. StackB_RandomForest_SMO_PART_J48_REPTree_RandomForest.txt | Accuracy=59.79%
14. StackB_RandomForest_IBk_JRip_J48_RandomForest_RandomTree.txt | Accuracy=58.47%
15. StackB_SMO_PART_J48_REPTree_RandomForest_RandomTree.txt | Accuracy=58.47%
16. StackB_RandomForest_SMO_JRip_J48_RandomForest_RandomTree.txt | Accuracy=58.47%
17. StackB_REPTree_SMO_IBk_PART_J48_RandomTree.txt     | Accuracy=57.94%
18. StackB_SMO_NaiveBayes_IBk_JRip_REPTree_RandomTree.txt | Accuracy=57.67%
19. StackB_REPTree_NaiveBayes_SimpleLogistic_PART_J48_REPTree.txt | Accuracy=56.88%
20. StackB_JRip_NaiveBayes_SimpleLogistic_PART_REPTree_RandomForest.txt | Accuracy=56.61%
21. StackB_SMO_NaiveBayes_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=56.61%
22. StackB_REPTree_NaiveBayes_SMO_JRip_J48_RandomForest.txt | Accuracy=55.03%
23. StackB_REPTree_SimpleLogistic_IBk_JRip_J48_REPTree.txt | Accuracy=54.50%
24. StackB_JRip_SMO_SimpleLogistic_IBk_JRip_RandomForest.txt | Accuracy=54.50%
25. StackB_REPTree_SMO_SimpleLogistic_IBk_RandomForest_RandomTree.txt | Accuracy=53.97%
26. StackB_JRip_NaiveBayes_SMO_SimpleLogistic_JRip_RandomTree.txt | Accuracy=53.44%
27. StackB_JRip_SMO_JRip_PART_REPTree_RandomTree.txt   | Accuracy=53.44%
28. StackB_JRip_NaiveBayes_SMO_PART_J48_REPTree.txt    | Accuracy=52.65%
29. StackB_JRip_NaiveBayes_IBk_JRip_PART_REPTree.txt   | Accuracy=50.26%
30. StackB_REPTree_NaiveBayes_SMO_JRip_PART_REPTree.txt | Accuracy=50.00%

    -kmeans_jpeg:

 1. StackB_RandomForest_SMO_PART_J48_REPTree_RandomForest.txt | Accuracy=75.93%
 2. StackB_RandomForest_SMO_SimpleLogistic_JRip_J48_RandomForest.txt | Accuracy=74.60%
 3. StackB_RandomForest_SimpleLogistic_IBk_PART_REPTree_RandomForest.txt | Accuracy=74.07%
 4. StackB_SimpleLogistic_NaiveBayes_SMO_SimpleLogistic_RandomForest_RandomTree.txt | Accuracy=74.07%
 5. StackB_RandomForest_SimpleLogistic_IBk_JRip_J48_RandomForest.txt | Accuracy=73.81%
 6. StackB_RandomForest_IBk_JRip_J48_RandomForest_RandomTree.txt | Accuracy=73.81%
 7. StackB_RandomForest_SMO_JRip_J48_RandomForest_RandomTree.txt | Accuracy=73.81%
 8. StackB_RandomForest_NaiveBayes_SMO_SimpleLogistic_IBk_RandomForest.txt | Accuracy=73.55%
 9. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_JRip_REPTree.txt | Accuracy=72.22%
10. StackB_JRip_NaiveBayes_SimpleLogistic_PART_REPTree_RandomForest.txt | Accuracy=71.96%
11. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_IBk_J48_REPTree.txt | Accuracy=71.96%
12. StackB_RandomForest_SMO_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=71.96%
13. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_REPTree_RandomTree.txt | Accuracy=70.90%
14. StackB_SMO_NaiveBayes_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=70.90%
15. StackB_SMO_NaiveBayes_IBk_JRip_REPTree_RandomTree.txt | Accuracy=70.11%
16. StackB_REPTree_SMO_SimpleLogistic_IBk_RandomForest_RandomTree.txt | Accuracy=69.84%
17. StackB_SMO_NaiveBayes_IBk_J48_REPTree_RandomTree.txt | Accuracy=69.31%
18. StackB_SMO_PART_J48_REPTree_RandomForest_RandomTree.txt | Accuracy=69.05%
19. StackB_SMO_NaiveBayes_IBk_REPTree_RandomForest_RandomTree.txt | Accuracy=68.52%
20. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_PART_REPTree_RandomTree.txt | Accuracy=68.52%
21. StackB_REPTree_NaiveBayes_SMO_JRip_J48_RandomForest.txt | Accuracy=67.46%
22. StackB_REPTree_SMO_IBk_PART_J48_RandomTree.txt     | Accuracy=67.20%
23. StackB_REPTree_SimpleLogistic_IBk_JRip_J48_REPTree.txt | Accuracy=66.14%
24. StackB_JRip_NaiveBayes_SMO_PART_J48_REPTree.txt    | Accuracy=66.14%
25. StackB_JRip_SMO_SimpleLogistic_IBk_JRip_RandomForest.txt | Accuracy=66.14%
26. StackB_REPTree_NaiveBayes_SimpleLogistic_PART_J48_REPTree.txt | Accuracy=65.34%
27. StackB_JRip_NaiveBayes_IBk_JRip_PART_REPTree.txt   | Accuracy=64.02%
28. StackB_JRip_NaiveBayes_SMO_SimpleLogistic_JRip_RandomTree.txt | Accuracy=63.23%
29. StackB_JRip_SMO_JRip_PART_REPTree_RandomTree.txt   | Accuracy=62.17%
30. StackB_REPTree_NaiveBayes_SMO_JRip_PART_REPTree.txt | Accuracy=57.41%


    - original_autocolor:

 1. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_REPTree_RandomTree.txt | Accuracy=89.15%
 2. StackB_RandomForest_SimpleLogistic_IBk_PART_REPTree_RandomForest.txt | Accuracy=88.89%
 3. StackB_RandomForest_NaiveBayes_SMO_SimpleLogistic_IBk_RandomForest.txt | Accuracy=88.10%
 4. StackB_RandomForest_SimpleLogistic_IBk_JRip_J48_RandomForest.txt | Accuracy=87.57%
 5. StackB_RandomForest_IBk_JRip_J48_RandomForest_RandomTree.txt | Accuracy=87.30%
 6. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_JRip_REPTree.txt | Accuracy=87.30%
 7. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_IBk_J48_REPTree.txt | Accuracy=86.51%
 8. StackB_RandomForest_SMO_JRip_J48_RandomForest_RandomTree.txt | Accuracy=86.51%
 9. StackB_RandomForest_SMO_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=86.51%
10. StackB_RandomForest_SMO_PART_J48_REPTree_RandomForest.txt | Accuracy=86.24%
11. StackB_SMO_NaiveBayes_IBk_J48_REPTree_RandomTree.txt | Accuracy=85.19%
12. StackB_RandomForest_SMO_SimpleLogistic_JRip_J48_RandomForest.txt | Accuracy=85.19%
13. StackB_SimpleLogistic_NaiveBayes_SMO_SimpleLogistic_RandomForest_RandomTree.txt | Accuracy=85.19%
14. StackB_SMO_NaiveBayes_IBk_JRip_REPTree_RandomTree.txt | Accuracy=84.66%
15. StackB_SMO_NaiveBayes_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=84.39%
16. StackB_SMO_NaiveBayes_IBk_REPTree_RandomForest_RandomTree.txt | Accuracy=84.13%
17. StackB_REPTree_SMO_IBk_PART_J48_RandomTree.txt     | Accuracy=83.86%
18. StackB_JRip_NaiveBayes_SimpleLogistic_PART_REPTree_RandomForest.txt | Accuracy=83.33%
19. StackB_REPTree_SimpleLogistic_IBk_JRip_J48_REPTree.txt | Accuracy=83.07%
20. StackB_JRip_NaiveBayes_SMO_PART_J48_REPTree.txt    | Accuracy=82.80%
21. StackB_JRip_SMO_SimpleLogistic_IBk_JRip_RandomForest.txt | Accuracy=82.80%
22. StackB_REPTree_NaiveBayes_SMO_JRip_PART_REPTree.txt | Accuracy=82.01%
23. StackB_JRip_NaiveBayes_IBk_JRip_PART_REPTree.txt   | Accuracy=81.48%
24. StackB_SMO_PART_J48_REPTree_RandomForest_RandomTree.txt | Accuracy=80.95%
25. StackB_JRip_SMO_JRip_PART_REPTree_RandomTree.txt   | Accuracy=80.95%
26. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_PART_REPTree_RandomTree.txt | Accuracy=80.69%
27. StackB_REPTree_SMO_SimpleLogistic_IBk_RandomForest_RandomTree.txt | Accuracy=79.37%
28. StackB_JRip_NaiveBayes_SMO_SimpleLogistic_JRip_RandomTree.txt | Accuracy=79.37%
29. StackB_REPTree_NaiveBayes_SMO_JRip_J48_RandomForest.txt | Accuracy=79.37%
30. StackB_REPTree_NaiveBayes_SimpleLogistic_PART_J48_REPTree.txt | Accuracy=76.98%


VOTING:

    - edge_colorlayout:

 1. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=58.47%
 2. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=58.20%
 3. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=57.67%
 4. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=56.35%
 5. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=55.82%
 6. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=55.29%
 7. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=55.03%
 8. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=54.76%
 9. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=54.50%
10. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=53.97%
11. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=53.70%
12. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=53.70%
13. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=53.44%
14. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=53.17%
15. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=52.65%
16. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=52.38%
17. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=52.38%
18. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=52.38%
19. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=51.85%
20. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=51.85%
21. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=51.59%
22. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=51.32%
23. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=51.06%
24. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=50.53%
25. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=50.26%
26. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=50.00%
27. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=49.47%
28. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=48.94%
29. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=48.94%
30. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=48.41%
31. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=48.15%
32. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=45.50%
33. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=44.97%
34. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=44.44%
35. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=44.18%
36. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=43.92%
37. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=42.59%
38. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=41.53%
39. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=41.27%
40. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=41.27%

    - kmeans_autocolor:

 1. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=63.23%
 2. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=61.90%
 3. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=61.38%
 4. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=61.38%
 5. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=61.11%
 6. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=60.85%
 7. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=60.58%
 8. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=60.58%
 9. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=60.32%
10. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=60.32%
11. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=60.05%
12. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=60.05%
13. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=60.05%
14. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=59.79%
15. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=59.79%
16. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=59.79%
17. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=59.52%
18. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=59.52%
19. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=59.26%
20. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=58.99%
21. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=58.99%
22. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=58.99%
23. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=58.73%
24. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=58.73%
25. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=58.47%
26. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=57.94%
27. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=57.14%
28. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=57.14%
29. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=55.82%
30. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=54.76%
31. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=53.97%
32. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=51.59%
33. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=42.06%
34. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=0.00%
35. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=0.00%
36. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=0.00%
37. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=0.00%
38. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=0.00%
39. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=0.00%
40. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=0.00%


    -kmeans_jpeg:

 1. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=72.22%
 2. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=71.69%
 3. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=71.69%
 4. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=71.69%
 5. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=71.69%
 6. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=70.90%
 7. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=70.63%
 8. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=70.37%
 9. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=70.37%
10. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=70.11%
11. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=70.11%
12. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=70.11%
13. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=69.84%
14. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=69.84%
15. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=69.58%
16. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=69.58%
17. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=69.31%
18. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=69.31%
19. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=69.05%
20. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=68.78%
21. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=68.78%
22. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=68.78%
23. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=68.52%
24. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=68.52%
25. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=68.52%
26. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=68.52%
27. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=68.52%
28. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=68.52%
29. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=68.25%
30. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=67.99%
31. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=67.46%
32. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=67.20%
33. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=67.20%
34. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=66.93%
35. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=66.67%
36. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=66.67%
37. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=66.67%
38. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=66.14%
39. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=65.34%
40. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=64.81%

    - original_autocolor:

 1. Vote_Majority_3cls_IBk_PART_RandomForest.txt                 | Majority | 3 cls | Acc=86.77%
 2. Vote_Majority_3cls_SimpleLogistic_IBk_J48.txt                | Majority | 3 cls | Acc=86.77%
 3. Vote_Average_3cls_SimpleLogistic_IBk_J48.txt                 | Average  | 3 cls | Acc=86.77%
 4. Vote_Average_3cls_IBk_PART_RandomForest.txt                  | Average  | 3 cls | Acc=86.24%
 5. Vote_Majority_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt  | Majority | 5 cls | Acc=85.45%
 6. Vote_Majority_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Majority | 5 cls | Acc=85.19%
 7. Vote_Average_5cls_SimpleLogistic_IBk_J48_REPTree_RandomTree.txt | Average  | 5 cls | Acc=85.19%
 8. Vote_Majority_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=83.33%
 9. Vote_Average_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt   | Average  | 5 cls | Acc=83.07%
10. Vote_Majority_5cls_NaiveBayes_IBk_PART_J48_RandomForest.txt  | Majority | 5 cls | Acc=82.80%
11. Vote_Average_5cls_SMO_IBk_PART_RandomForest_RandomTree.txt   | Average  | 5 cls | Acc=82.80%
12. Vote_Majority_5cls_IBk_JRip_PART_REPTree_RandomForest.txt    | Majority | 5 cls | Acc=81.48%
13. Vote_Average_5cls_IBk_JRip_PART_REPTree_RandomForest.txt     | Average  | 5 cls | Acc=81.48%
14. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Majority | 5 cls | Acc=80.69%
15. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_J48_RandomTree.txt | Average  | 5 cls | Acc=80.42%
16. Vote_Average_3cls_SimpleLogistic_JRip_J48.txt                | Average  | 3 cls | Acc=80.16%
17. Vote_Average_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Average  | 5 cls | Acc=79.89%
18. Vote_Majority_3cls_IBk_JRip_RandomTree.txt                   | Majority | 3 cls | Acc=79.63%
19. Vote_Majority_3cls_SimpleLogistic_JRip_J48.txt               | Majority | 3 cls | Acc=79.63%
20. Vote_Average_3cls_IBk_JRip_RandomTree.txt                    | Average  | 3 cls | Acc=79.63%
21. Vote_Majority_5cls_NaiveBayes_SimpleLogistic_JRip_REPTree_RandomTree.txt | Majority | 5 cls | Acc=79.37%
22. Vote_Average_5cls_NaiveBayes_SMO_JRip_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=78.84%
23. Vote_Majority_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt  | Majority | 3 cls | Acc=78.57%
24. Vote_Average_3cls_NaiveBayes_SimpleLogistic_RandomTree.txt   | Average  | 3 cls | Acc=78.57%
25. Vote_Majority_3cls_NaiveBayes_IBk_RandomTree.txt             | Majority | 3 cls | Acc=78.04%
26. Vote_Average_3cls_NaiveBayes_IBk_RandomTree.txt              | Average  | 3 cls | Acc=78.04%
27. Vote_Majority_5cls_SMO_JRip_J48_REPTree_RandomTree.txt       | Majority | 5 cls | Acc=78.04%
28. Vote_Majority_3cls_JRip_PART_RandomForest.txt                | Majority | 3 cls | Acc=77.51%
29. Vote_Majority_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt       | Majority | 5 cls | Acc=77.51%
30. Vote_Average_3cls_JRip_PART_RandomForest.txt                 | Average  | 3 cls | Acc=76.98%
31. Vote_Majority_3cls_REPTree_RandomForest_RandomTree.txt       | Majority | 3 cls | Acc=75.40%
32. Vote_Average_5cls_SMO_JRip_J48_REPTree_RandomTree.txt        | Average  | 5 cls | Acc=75.40%
33. Vote_Average_5cls_NaiveBayes_SMO_PART_J48_REPTree.txt        | Average  | 5 cls | Acc=75.40%
34. Vote_Average_3cls_SimpleLogistic_PART_REPTree.txt            | Average  | 3 cls | Acc=75.13%
35. Vote_Majority_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Majority | 5 cls | Acc=75.13%
36. Vote_Majority_3cls_SMO_PART_J48.txt                          | Majority | 3 cls | Acc=74.60%
37. Vote_Majority_3cls_SimpleLogistic_PART_REPTree.txt           | Majority | 3 cls | Acc=74.60%
38. Vote_Average_5cls_JRip_PART_REPTree_RandomForest_RandomTree.txt | Average  | 5 cls | Acc=74.34%
39. Vote_Average_3cls_SMO_PART_J48.txt                           | Average  | 3 cls | Acc=73.54%
40. Vote_Average_3cls_REPTree_RandomForest_RandomTree.txt        | Average  | 3 cls | Acc=70.37%
